[Epoch 1]	Learning rate: 1.00e-5
[800/16000]	[L1: 6.3787]	42.7+0.7s
[1600/16000]	[L1: 5.3296]	42.1+0.5s
[2400/16000]	[L1: 4.7919]	42.0+0.5s
[3200/16000]	[L1: 4.4953]	42.0+0.5s
[4000/16000]	[L1: 4.3034]	42.2+0.5s
[4800/16000]	[L1: 4.1689]	42.2+0.5s
[5600/16000]	[L1: 4.0702]	42.3+0.5s
[6400/16000]	[L1: 3.9919]	42.2+0.5s
[7200/16000]	[L1: 3.9276]	42.1+0.5s
[8000/16000]	[L1: 3.8749]	42.2+0.5s
[8800/16000]	[L1: 3.8326]	42.1+0.5s
[9600/16000]	[L1: 3.7923]	42.1+0.5s
[10400/16000]	[L1: 3.7570]	42.2+0.5s
[11200/16000]	[L1: 3.7246]	42.2+0.5s
[12000/16000]	[L1: 3.6992]	42.2+0.5s
[12800/16000]	[L1: 3.6726]	42.1+0.5s
[13600/16000]	[L1: 3.6542]	42.2+0.5s
[14400/16000]	[L1: 3.6344]	42.3+0.5s
[15200/16000]	[L1: 3.6160]	42.2+0.5s
[16000/16000]	[L1: 3.6000]	42.2+0.5s
[Epoch 2]	Learning rate: 1.00e-5
[800/16000]	[L1: 3.3173]	42.5+1.0s
[1600/16000]	[L1: 3.3063]	42.4+0.5s
[2400/16000]	[L1: 3.3012]	42.2+0.5s
[3200/16000]	[L1: 3.2992]	42.3+0.5s
[4000/16000]	[L1: 3.2924]	42.3+0.5s
[4800/16000]	[L1: 3.2879]	42.3+0.5s
[5600/16000]	[L1: 3.2854]	41.9+0.5s
[6400/16000]	[L1: 3.2847]	42.0+0.5s
[7200/16000]	[L1: 3.2806]	41.0+0.5s
[8000/16000]	[L1: 3.2750]	41.7+0.5s
[8800/16000]	[L1: 3.2757]	42.1+0.5s
[9600/16000]	[L1: 3.2722]	42.3+0.5s
[10400/16000]	[L1: 3.2734]	42.0+0.5s
[11200/16000]	[L1: 3.2724]	42.0+0.5s
[12000/16000]	[L1: 3.2702]	42.0+0.5s
[12800/16000]	[L1: 3.2685]	42.2+0.5s
[13600/16000]	[L1: 3.2634]	42.0+0.5s
[14400/16000]	[L1: 3.2611]	41.6+0.5s
[15200/16000]	[L1: 3.2585]	41.7+0.5s
[16000/16000]	[L1: 3.2548]	41.8+0.5s
[Epoch 3]	Learning rate: 1.00e-5
[800/16000]	[L1: 3.2208]	41.6+0.7s
[1600/16000]	[L1: 3.2122]	41.6+0.5s
[2400/16000]	[L1: 3.2170]	41.9+0.5s
[3200/16000]	[L1: 3.2090]	42.0+0.5s
[4000/16000]	[L1: 3.2087]	42.0+0.5s
[4800/16000]	[L1: 3.2126]	42.2+0.5s
[5600/16000]	[L1: 3.2083]	41.9+0.5s
[6400/16000]	[L1: 3.2068]	42.1+0.5s
[7200/16000]	[L1: 3.2016]	42.0+0.5s
[8000/16000]	[L1: 3.2024]	42.2+0.5s
[8800/16000]	[L1: 3.2012]	42.1+0.5s
[9600/16000]	[L1: 3.2015]	42.1+0.5s
[10400/16000]	[L1: 3.2040]	41.5+0.5s
[11200/16000]	[L1: 3.2028]	42.1+0.5s
[12000/16000]	[L1: 3.2002]	42.0+0.5s
[12800/16000]	[L1: 3.1987]	41.8+0.5s
[13600/16000]	[L1: 3.1967]	41.9+0.5s
[14400/16000]	[L1: 3.1957]	41.9+0.5s
[15200/16000]	[L1: 3.1922]	42.2+0.5s
[16000/16000]	[L1: 3.1917]	42.2+0.5s
[Epoch 4]	Learning rate: 5.00e-6
[800/16000]	[L1: 3.2135]	42.3+0.7s
[1600/16000]	[L1: 3.1791]	42.2+0.5s
[2400/16000]	[L1: 3.1748]	42.5+0.5s
[3200/16000]	[L1: 3.1728]	42.3+0.5s
[4000/16000]	[L1: 3.1712]	42.4+0.5s
[4800/16000]	[L1: 3.1749]	42.3+0.5s
[5600/16000]	[L1: 3.1750]	42.5+0.5s
[6400/16000]	[L1: 3.1744]	42.4+0.5s
[7200/16000]	[L1: 3.1734]	42.5+0.5s
[8000/16000]	[L1: 3.1723]	42.3+0.5s
[8800/16000]	[L1: 3.1732]	42.4+0.5s
[9600/16000]	[L1: 3.1728]	42.5+0.5s
[10400/16000]	[L1: 3.1710]	41.9+0.5s
[11200/16000]	[L1: 3.1701]	42.0+0.5s
[12000/16000]	[L1: 3.1727]	41.9+0.5s
[12800/16000]	[L1: 3.1726]	41.7+0.5s
[13600/16000]	[L1: 3.1692]	41.9+0.5s
[14400/16000]	[L1: 3.1671]	41.9+0.5s
[15200/16000]	[L1: 3.1648]	41.6+0.5s
[16000/16000]	[L1: 3.1642]	42.0+0.5s
[Epoch 5]	Learning rate: 5.00e-6
[800/16000]	[L1: 3.1729]	41.7+0.6s
[1600/16000]	[L1: 3.1527]	42.2+0.5s
[2400/16000]	[L1: 3.1443]	42.1+0.5s
[3200/16000]	[L1: 3.1431]	42.0+0.5s
[4000/16000]	[L1: 3.1423]	41.8+0.5s
[4800/16000]	[L1: 3.1423]	42.0+0.5s
[5600/16000]	[L1: 3.1472]	41.6+0.5s
[6400/16000]	[L1: 3.1439]	41.8+0.5s
[7200/16000]	[L1: 3.1468]	42.3+0.5s
[8000/16000]	[L1: 3.1470]	42.1+0.5s
[8800/16000]	[L1: 3.1477]	41.9+0.5s
[9600/16000]	[L1: 3.1460]	42.1+0.5s
[10400/16000]	[L1: 3.1463]	41.8+0.5s
[11200/16000]	[L1: 3.1489]	41.8+0.5s
[12000/16000]	[L1: 3.1484]	41.9+0.5s
[12800/16000]	[L1: 3.1485]	42.0+0.5s
[13600/16000]	[L1: 3.1479]	42.1+0.5s
[14400/16000]	[L1: 3.1482]	42.1+0.5s
[15200/16000]	[L1: 3.1487]	41.5+0.5s
[16000/16000]	[L1: 3.1497]	42.2+0.5s
[Epoch 6]	Learning rate: 5.00e-6
[800/16000]	[L1: 3.1318]	42.0+0.7s
[1600/16000]	[L1: 3.1341]	42.1+0.5s
[2400/16000]	[L1: 3.1268]	42.4+0.5s
[3200/16000]	[L1: 3.1288]	41.8+0.5s
[4000/16000]	[L1: 3.1306]	42.2+0.5s
